tema	volcado	documento	como_se_comprobo
01	Directiva 47/67/CE	Directiva 97/67/CE	a la vista, página 8
01	de 15 de diciembre de 1447	de 15 de diciembre de 1997	a la vista, página 8
01	24/1498	24/1998	a la vista, páginas 8 y 9; el documento la nombra «Ley 24/1998, de 13 de julio, del Servicio Postal Universal»
01	24/1448	24/1998	ídem
01	81/1499	81/1999	a la vista, página 9
01	1829/1499	1829/1999	a la vista, página 12
01	1829/1494	1829/1999	ídem
01	1829/1444	1829/1999	ídem
01	1824/1499	1829/1999	ídem
01	1824/1494	1829/1999	ídem
01	1824/1449	1829/1999	ídem
01	Ley 94/2017	Ley 9/2017	a la vista, página 14
01	Ley 49/2017	Ley 9/2017	a la vista, página 15
01	17/1477	17/1977	por el nombre: «Real Decreto-ley 17/1977, de 4 de marzo, sobre relaciones de trabajo»
01	11/1385	11/1985	por el nombre: «Ley Orgánica 11/1985, de 2 de agosto, de Libertad Sindical»
01	8/1489	8/1989	por el nombre: «Ley 8/1989, de 13 de abril, de Tasas y Precios Públicos»
01	1/1496	1/1996	por el nombre: texto refundido de la Ley de Propiedad Intelectual
01	16/1387	16/1987	por el nombre: «Ley 16/1987, de 30 de julio, de Ordenación de los Transportes Terrestres»
01	16/1487	16/1987	ídem
01	2016/6749	2016/679	por el nombre: Reglamento general de protección de datos
01	de Julio de 1494	de Julio de 1994	por el contexto: Correo Híbrido, S.A. es una sociedad moderna
01	(CNMO)	(CNMC)	a la vista, página 6: «con comunicación a la Comisión Nacional de los Mercados y la Competencia (CNMC)»
01	S.M.E>»	S.M.E»	a la vista, página 6: la comilla de cierre sale duplicada con un signo mayor-que delante
09	(CNMO)	(CNMC)	misma errata de reconocimiento que en el tema 1, comprobada allí
11	(CNMO)	(CNMC)	ídem
01	(CNMOC)	(CNMC)	misma errata de reconocimiento de la sigla, con una o de más
09	(CNMOC)	(CNMC)	ídem
11	(CNMOC)	(CNMC)	ídem
01	Competencia (1464)	Competencia (1964)	a la vista, página 27
02	31/1495	31/1995	por el nombre: «Ley 31/1995 de Prevención de Riesgos Laborales»
02	31/1445	31/1995	ídem
02	39/1497	39/1997	por el nombre: «Reglamento de los Servicios de Prevención»
02	486/1497	486/1997	por el nombre: disposiciones mínimas en los lugares de trabajo
02	485/1497	485/1997	por el nombre: disposiciones mínimas en materia de señalización
02	1215/1497	1215/1997	por el nombre: equipos de trabajo
02	487/1497	487/1997	por el nombre: manipulación manual de cargas
02	488/1497	488/1997	por el nombre: pantallas de visualización
02	773/1497	773/1997	por el nombre: equipos de protección individual
02	53/1492	53/1992	por el nombre: protección sanitaria contra radiaciones ionizantes
07	1829/1499	1829/1999	por el nombre: «Reglamento Postal»
07	24/1498	24/1998	por el nombre: «del Servicio Postal Universal»
08	1829/1499	1829/1999	ídem
09	1829/1499	1829/1999	ídem
09	1829/1449	1829/1999	ídem
09	1824/1499	1829/1999	ídem
09	24/1498	24/1998	ídem
10	1829/1499	1829/1999	ídem
10	24/1498	24/1998	ídem
11	1829/1499	1829/1999	ídem
12	31/1490	31/1990	por el nombre: «de 27 de diciembre, de Presupuestos Generales del Estado»
12	10/1445	10/1995	por el nombre: «de 23 de noviembre, del Código Penal»
12	30/1492	30/1992	por el nombre: «de Régimen Jurídico de las Administraciones Públicas»
12	2016/6749	2016/679	por el nombre: reglamento general de protección de datos, «de 27 de abril»
12	2016/6774	2016/679	ídem
12	2015/8477	2015/847	por el nombre: reglamento del Parlamento Europeo «de 20/05/2015» sobre transferencias de fondos
02	17 Objetivos con 164 metas	17 Objetivos con 169 metas	a la vista, página 58: la Agenda 2030 tiene 169 metas, y el reconocedor leyó el nueve como cuatro
02	(ODS), con 164	(ODS), con 169	ídem, misma página y misma cifra
02	Desde 1946	Desde 1996	a la vista, página 74
02	Constitución de 1478	Constitución de 1978	a la vista, página 15
02	de 12 de junio de 1484	de 12 de junio de 1989	a la vista, página 16
02	Ley 31/1945	Ley 31/1995	a la vista, página 16
02	7173/1447	773/1997	a la vista, página 19
02	data de 1494	data de 1999	a la vista, página 25
02	hasta 1478	hasta 1978	a la vista, página 16
02	año 1480	año 1980	a la vista, página 16
02	de 14986	de 1986	a la vista, página 16
02	el año 20049	el año 2009	a la vista, página 27
02	442.000 kilos	942.000 kilos	a la vista, página 69
02	1490 entidades	190 entidades	a la vista, página 69
02	3.242 voluntarios	3.292 voluntarios	a la vista, página 69
02	Artículo 24 de la Ley 31/1995	Artículo 29 de la Ley 31/1995	a la vista, página 30
02	los 143 líderes	los 193 líderes	a la vista, página 59
02	COVID-14	COVID-19	a la vista, página 69
02	PROO02	PR002	por el patrón del documento: «PR002» a la vista, página 33
02	PROO04	PR004	por el patrón del documento: «PR002» a la vista, página 33
02	PROO5	PR005	por el patrón del documento: «PR002» a la vista, página 33
02	PROO06	PR006	por el patrón del documento: «PR002» a la vista, página 33
02	PROO13	PR013	por el patrón del documento: «PR002» a la vista, página 33
02	PROO14	PR014	por el patrón del documento: «PR002» a la vista, página 33
02	PROO16	PR016	por el patrón del documento: «PR002» a la vista, página 33
02	PRO13	PR013	por el patrón del documento: «PR002» a la vista, página 33
02	PRO14	PR014	por el patrón del documento: «PR002» a la vista, página 33
02	PRO16	PR016	por el patrón del documento: «PR002» a la vista, página 33
02	PRO17	PR017	por el patrón del documento: «PR002» a la vista, página 33
02	PTOO1	PT001	por el patrón del documento: «PT004» a la vista, página 49
02	PTOO4	PT004	a la vista, página 49
02	PTOO5	PT005	por el patrón del documento: «PT004» a la vista, página 49
02	PTOOS	PT008	por el patrón del documento: «PT004» a la vista, página 49
02	mitigación del 34%	mitigación del 39%	a la vista, página 71
02	Clima 2014 (COP 25)	Clima 2019 (COP 25)	a la vista, página 64
02	Art.4 Ley 31/1995	Art.9 Ley 31/1995	a la vista, página 17
02	prevista en el artículo 4 de la	prevista en el artículo 9 de la	a la vista, página 17
02	arts. 18 y 14 LPRL	arts. 18 y 19 LPRL	a la vista, página 21
03	RD 1829/1499	RD 1829/1999	por el nombre: «Real Decreto 1829/1999, Reglamento Postal»
03	LOPJ (1485)	LOPJ (1985)	por el nombre: la Ley Orgánica del Poder Judicial es la 6/1985
03	100x4490x400	100x490x400	a la vista, página 128
03	14x4 cm	14x9 cm	a la vista, páginas 5 y 60; trece apariciones, todas del bloque «Mínimas»
03	D<490 cm	D≤90 cm	a la vista, página 5
03	43% de los envíos	93% de los envíos	a la vista, página 4
03	máximo 449,44 €	máximo 499,99 €	a la vista, página 51
03	un máximo 2.444,99 €	un máximo 2.499,99 €	a la vista, página 51
03	444,94 €, y abono en cuenta, máximo 2.494,99 €	499,99 €, y abono en cuenta, máximo 2.499,99 €	a la vista, página 59
03	q94,94 €	999,99 €	a la vista, página 75
03	494,44 €	999,99 €	a la vista, página 79
03	494,49 €	999,99 €	a la vista, página 89
03	el 40% de los	el 90% de los	a la vista, página 14
03	Formato sobre: 4x14 cm	Formato sobre: 9x14 cm	a la vista, página 14
03	Caja: 14x49 cm	Caja: 14x9 cm	a la vista, página 58
01	de 15 de diciembre de 14497	de 15 de diciembre de 1997	por el nombre: la Directiva 97/67/CE es de 15 de diciembre de 1997
01	1947, sobre normas comunes	1997, sobre normas comunes	por el nombre: la Directiva 97/67/CE es de 15 de diciembre de 1997
01	Real Decreto 828/1945	Real Decreto 828/1995	por el nombre: «Real Decreto 828/1995, de 24 de mayo»
01	Real Decreto 1165/1945	Real Decreto 1165/1995	por el nombre: «Real Decreto 1165/1995, de 7 de julio»
01	fundada en 1484	fundada en 1989	a la vista, página 41
01	se inició en España en 1945	se inició en España en 1995	a la vista, página 73
03	exceda de 490 cm	exceda de 90 cm	a la vista, página 5: el máximo del rollo es L+2D=104 cm con D≤90 cm
03	39x349x24 cm	39x39x29 cm	a la vista, página 41
03	Z4.- Origen Canarias destino Portugal peninsular	Z9.- Origen Canarias destino Portugal peninsular	a la vista, página 48
03	el 945% de los envíos	el 95% de los envíos	a la vista, página 26
03	Sobre/Caja: 14x 4 cm	Sobre/Caja: 14x9 cm	a la vista, páginas 5 y 60; misma medida mínima que el resto del catálogo
03	CCRI: hasta 250 q	CCRI: hasta 250 g	el reconocedor lee la ge como cu en las unidades de peso
